Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.872624292,-16.77482796,9.727752686,-37.70707703,42.40103399
0.882655292,-16.78441238,9.855743408,-37.52708435,42.27451049
0.892685292,-16.66654015,10.00402832,-37.49690247,42.23590697
0.902715292,-16.74831963,10.35442352,-37.53744888,42.38844613
0.912745292,-16.66719437,10.59105682,-37.47386169,42.35866101
0.922775292,-16.60982895,10.97957611,-37.483284,42.4433044
0.932805292,-16.57502174,11.29458618,-37.46846771,42.49923641
0.942836292,-16.38809013,11.32440948,-37.37120438,42.34877407
0.952866292,-16.17257881,11.74977112,-37.28692245,42.30749358
0.962896292,-16.11654663,12.03121948,-37.16864014,42.26110655
0.972926292,-16.05033112,12.28535461,-37.08691406,42.23721418
0.982956292,-16.20783424,12.54698944,-36.68694305,42.02442891
0.992986292,-16.148489,12.5619812,-36.85580063,42.15361323
1.003017292,-16.03684807,12.51356506,-36.91277695,42.14644598
1.013047292,-16.11339378,12.45169067,-36.93402481,42.17592025
1.023077292,-16.12599945,12.52136993,-36.81642532,42.09847666
1.033107292,-16.16975784,12.56652069,-36.98596191,42.27694277
1.043137292,-16.22019958,12.51950836,-37.01051331,42.30379486
1.053167292,-16.40280342,12.44779205,-36.77549362,42.14779257
1.063198292,-16.53416634,12.43454742,-36.80456924,42.22052751
1.073228292,-16.59675789,12.30702972,-36.74542618,42.15615848
1.083258292,-16.80085373,12.23949432,-36.69107437,42.16999936
1.093288292,-16.85773087,12.24645233,-36.67097855,42.17723737
1.103318292,-16.84167099,12.27457428,-36.72837448,42.22890654
1.113348292,-16.74888992,12.18164825,-36.63809204,42.08643079
1.123379292,-16.7086525,12.26953125,-36.64157867,42.09899943
1.133409292,-16.61189079,12.30528259,-36.56995392,42.00876605
1.143439292,-16.68210602,12.35520172,-36.55248642,42.03603138
1.153469292,-16.5431633,12.42250061,-36.74868393,42.17179797
1.163499292,-16.44562149,12.35360718,-36.74502182,42.11017342
1.173529292,-16.38773346,12.30564117,-36.83694077,42.15384701
1.183560292,-16.17121124,12.3015976,-36.96258926,42.17902775
1.193590292,-16.11826515,12.3673172,-36.91966629,42.14036978
1.203620292,-15.8538847,12.49234009,-37.03368378,42.17698371
1.213650292,-15.95356941,12.61884308,-36.52121735,41.80371866
1.223680292,-15.81198883,12.5835495,-37.00104904,42.15972413
1.233710292,-15.72759342,12.52365875,-37.04143143,42.14578111
1.243741292,-15.66392612,12.51275635,-37.06987,42.14383602
1.253771292,-15.68595505,12.47183228,-37.04810715,42.12075533
1.263801292,-15.50203609,12.40657806,-37.01362991,42.00291778
1.273831292,-15.50860405,12.18600464,-37.30622101,42.19916628
1.283861292,-15.57820702,12.15373993,-37.26325226,42.17752834
1.293891292,-15.70376015,12.15142059,-37.14748383,42.12126137
1.303922292,-15.95372009,11.81285858,-37.07072067,42.0511967
1.313952292,-16.05330849,11.87688446,-37.01981354,42.06228349
1.323982292,-16.26304245,11.67258453,-36.97362518,42.04503227
1.334012292,-16.50551224,11.59820557,-36.98899078,42.13235984
1.344042292,-16.61205101,11.28334808,-36.89715195,42.0080231
1.354072292,-16.89047241,11.38549805,-36.59148788,41.87904738
1.364103292,-17.03483772,11.36854553,-36.66858292,42.00017258
1.374133292,-17.01258087,11.26720428,-36.68824387,41.98100807
1.384163292,-16.96821404,11.20835876,-36.67188644,41.93298045
1.394193292,-16.94446373,11.23038483,-36.70399475,41.95735484
1.404223292,-16.88096237,11.20629883,-36.72371292,41.94256924
1.414253292,-16.89296341,11.15821075,-36.76286697,41.96887261
1.424284292,-16.79624557,11.26091766,-36.7730751,41.96642926
1.434314292,-16.51431084,11.06822205,-36.99263763,41.99622889
1.444344292,-16.32740974,11.00557709,-37.11838913,42.01763734
1.454374292,-16.08242226,11.07824707,-37.06246185,41.89269557
1.464404292,-15.99120235,11.27463531,-36.94115067,41.80292534
1.474434292,-15.74473763,11.09828949,-37.30953217,41.98892691
1.484465292,-15.67106533,11.08682251,-37.29470444,41.94514157
1.494495292,-15.67150402,11.20922089,-37.21709824,41.90889013
1.504525292,-15.56678104,11.29721832,-37.20087051,41.87907092
1.514555292,-15.52288342,11.25778198,-37.33140564,41.96821907
1.524585292,-15.48231316,11.49681091,-37.26876068,41.96235461
1.534615292,-15.5569706,11.69534302,-37.18615723,41.97154598
1.544646292,-15.46501923,11.9883194,-37.22861099,42.05777096
1.554676292,-15.39712906,12.29518127,-37.04438019,41.95866024
1.564706292,-15.35279751,12.60197449,-36.92053604,41.92426665
1.574736292,-15.16798115,13.07324982,-36.80334091,41.89825074
1.584766292,-15.07003498,13.56971741,-36.72648621,41.95328323
1.5948005,-14.91914654,14.02863312,-36.58102417,41.92320133
1.6048315,-14.70200539,14.45717621,-36.44981766,41.87777589
1.6148615,-14.38428974,14.88581085,-36.5922699,42.04151962
1.6248915,-14.10951614,15.14641571,-36.58467484,42.03487585
1.6349215,-13.78343201,15.36500549,-36.69706726,42.10393256
1.6449515,-13.39672375,15.54074097,-36.69591141,42.04255881
1.6549815,-13.43346024,15.67385864,-36.9343071,42.31159108
1.6650125,-13.28887653,15.7986908,-36.77441406,42.17286331
1.6750425,-13.08840752,15.63372803,-36.85270691,42.11700215
1.6850725,-13.00287247,15.6497879,-37.10726166,42.31949222
1.6951025,-12.79702854,15.68099213,-36.81191635,42.00922088
1.7051325,-12.86117172,15.65457153,-36.9930954,42.17777205
1.7151625,-12.81091881,15.6302948,-36.92444229,42.09323217
1.7251935,-12.89517689,15.58177185,-36.80513,41.99636646
1.7352235,-13.16175461,15.5345459,-36.8969574,42.14189561
1.7452535,-13.20640469,15.40242004,-36.77325058,41.99899554
1.7552835,-13.3281641,15.20071411,-36.81782532,42.00302285
